epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
91,242.021,1.0992,0.65649,0.92671,0.87601,0.89725,0.91271,0.61224,1.21767,0.74372,0.96969,0.0016436,0.0016436,0.0016436
92,244.695,1.16267,0.68157,0.93419,0.87922,0.80882,0.89554,0.61701,1.09816,0.7502,0.92279,0.00163964,0.00163964,0.00163964
93,247.335,1.17649,0.68856,0.94915,0.862,0.84127,0.88278,0.55853,1.26594,0.80116,0.97873,0.00163568,0.00163568,0.00163568
94,249.972,1.16155,0.68286,0.94369,0.86578,0.81915,0.86855,0.58801,1.20506,0.7802,0.95659,0.00163172,0.00163172,0.00163172
95,252.609,1.1698,0.67696,0.92069,0.85395,0.85714,0.89153,0.64586,1.08081,0.69561,0.90748,0.00162776,0.00162776,0.00162776
96,255.239,1.12014,0.65593,0.92249,0.91064,0.87302,0.92118,0.65525,1.16552,0.70234,0.93345,0.0016238,0.0016238,0.0016238
97,257.876,1.19788,0.70959,0.94793,0.88873,0.85714,0.90305,0.63895,1.14499,0.72844,0.91822,0.00161984,0.00161984,0.00161984
98,260.509,1.11662,0.65417,0.90538,0.88202,0.83074,0.888,0.63169,1.12623,0.72346,0.92065,0.00161588,0.00161588,0.00161588
99,263.128,1.11076,0.64393,0.92826,0.8292,0.85714,0.87893,0.57067,1.21377,0.76219,0.96117,0.00161192,0.00161192,0.00161192
100,265.768,1.11585,0.64623,0.93217,0.85845,0.87302,0.90083,0.62163,1.1831,0.75594,0.94649,0.00160796,0.00160796,0.00160796
101,268.393,1.06337,0.63806,0.91324,0.89913,0.84904,0.90245,0.65136,1.10966,0.71506,0.92371,0.001604,0.001604,0.001604
102,271.02,1.07994,0.64625,0.91845,0.90411,0.85714,0.90656,0.64183,1.15034,0.70384,0.9284,0.00160004,0.00160004,0.00160004
103,273.664,1.14515,0.65352,0.94113,0.86393,0.80631,0.87895,0.61522,1.18039,0.79005,0.92726,0.00159608,0.00159608,0.00159608
104,276.286,1.09943,0.63222,0.9399,0.88402,0.84695,0.89612,0.62385,1.18665,0.78287,0.92628,0.00159212,0.00159212,0.00159212
105,278.925,1.13669,0.66167,0.93668,0.90993,0.87302,0.93277,0.6605,1.1348,0.67295,0.91585,0.00158816,0.00158816,0.00158816
106,281.58,1.08402,0.65506,0.91398,0.93476,0.80952,0.9219,0.6497,1.16661,0.69319,0.92745,0.0015842,0.0015842,0.0015842
107,284.225,1.09558,0.65448,0.94128,0.89649,0.84127,0.9203,0.64579,1.17638,0.69583,0.92896,0.00158024,0.00158024,0.00158024
108,286.865,1.12568,0.66065,0.91691,0.90666,0.87302,0.91306,0.66178,1.04856,0.65002,0.89756,0.00157628,0.00157628,0.00157628
109,289.5,1.1352,0.66194,0.94309,0.8636,0.90446,0.93604,0.67637,1.0492,0.63237,0.89587,0.00157232,0.00157232,0.00157232
110,292.206,1.11941,0.65821,0.90424,0.8561,0.90476,0.93344,0.65515,1.15052,0.65369,0.9214,0.00156836,0.00156836,0.00156836
