frame,duck_id,x_world,y_world
109,2,2.5684,1.5375
109,3,2.1173,1.5563
110,0,2.5525,1.5438
110,1,1.4593,1.7500
110,2,2.2818,1.4000
110,3,2.0802,1.5625
111,0,1.4275,1.7500
111,1,2.5312,1.5438
111,2,2.2606,1.3875
111,3,2.0537,1.5563
112,0,2.0696,1.5500
112,1,2.5206,1.5438
112,2,1.4116,1.7313
112,3,2.2288,1.3750
113,0,2.2075,1.3625
113,1,2.5259,1.5438
113,2,1.4062,1.7125
113,3,2.0643,1.5375
114,0,2.5259,1.5375
114,1,1.3903,1.7062
114,2,2.0696,1.5187
114,3,2.1969,1.3500
115,0,1.3903,1.7000
115,1,2.5312,1.5375
115,2,2.0696,1.5187
115,3,2.1757,1.3438
116,0,1.3903,1.7000
116,1,2.5419,1.5375
116,2,2.1704,1.3375
116,3,2.0749,1.5313
117,0,1.3850,1.7000
117,1,2.5525,1.5313
117,2,2.1598,1.3375
117,3,2.0802,1.5375
118,0,1.3850,1.7062
118,1,2.1598,1.3375
118,2,2.5578,1.5250
118,3,2.1173,1.5313
119,0,1.3797,1.7000
119,1,2.1651,1.3375
119,2,2.1333,1.5250
119,3,2.5684,1.5313
120,0,1.3850,1.7062
120,1,2.1651,1.5313
120,2,2.1969,1.3500
120,3,2.5790,1.5250
121,0,1.3850,1.7000
121,1,2.1916,1.5250
121,2,2.2288,1.3438
121,3,2.5896,1.5250
122,0,1.4009,1.6812
122,1,2.6162,1.5250
122,2,2.2288,1.5125
122,3,2.2659,1.3188
123,0,2.3084,1.3062
123,1,2.2659,1.5063
123,2,2.6374,1.5187
123,3,1.4169,1.6625
124,0,2.3084,1.4937
124,1,2.6586,1.5125
124,2,1.4328,1.6437
124,3,2.3402,1.3062
125,0,2.6745,1.5063
125,1,2.3508,1.4875
125,2,2.3880,1.3000
125,3,1.4540,1.6312
126,0,2.4357,1.2875
126,1,2.3986,1.4625
126,2,2.7011,1.4937
126,3,1.4805,1.6187
127,0,2.4835,1.2625
127,1,1.5177,1.6000
127,2,2.4463,1.4437
127,3,2.7223,1.4750
128,0,2.4888,1.4312
128,1,2.5206,1.2500
128,2,1.5336,1.5813
128,3,2.7488,1.4625
129,0,1.5601,1.5625
129,1,2.5684,1.2312
129,2,2.5366,1.4125
129,3,2.7754,1.4375
130,0,2.6055,1.2188
130,1,1.5814,1.5563
130,2,2.5896,1.3938
131,0,1.5920,1.5187
131,1,2.6427,1.2000
132,0,1.6132,1.5000
132,1,2.6798,1.1938
133,0,1.6291,1.4937
133,1,2.7223,1.1750
