frame,duck_id,x_world,y_world
126,0,1.4805,1.6375
126,1,2.4251,1.2688
126,2,2.4463,1.2750
126,3,2.7064,1.5000
126,4,2.4251,1.3062
127,0,1.5177,1.6125
127,1,2.4782,1.2562
127,2,2.7170,1.4750
128,0,1.5389,1.5813
128,1,2.5100,1.2500
129,0,1.5601,1.5750
129,1,2.7647,1.4437
130,0,1.5761,1.5688
131,0,1.5920,1.5563
132,0,1.6185,1.5125
133,0,1.6291,1.5125
134,0,1.6450,1.5000
134,1,2.7488,1.1687
135,0,1.6769,1.4875
136,0,1.7087,1.4625
136,1,2.8231,1.1375
137,0,1.7246,1.4437
137,1,2.8815,1.1437
138,0,1.7512,1.4375
138,1,1.0348,1.7688
139,0,1.7671,1.4187
139,1,1.0401,1.7750
140,0,1.7936,1.3813
140,1,1.0401,1.7812
140,2,2.9505,1.1000
141,0,1.8202,1.3625
141,1,2.9558,1.0875
141,2,1.0295,1.7688
142,0,1.8573,1.3625
142,1,2.9823,1.0875
142,2,1.0242,1.7625
143,0,1.8785,1.3625
143,1,3.0248,1.0813
143,2,1.0295,1.7625
144,0,1.9369,1.3438
144,1,3.0407,1.0813
144,2,1.0348,1.7625
144,3,2.8815,1.4750
145,0,1.9847,1.3250
145,1,2.9027,1.5000
145,2,3.0725,1.0687
145,3,1.0454,1.7438
146,0,2.0165,1.3250
146,1,2.9186,1.5063
146,2,3.0991,1.2750
146,3,3.0991,1.0562
147,0,2.0537,1.3062
147,1,2.9292,1.5125
147,2,3.1097,1.0312
148,0,2.1014,1.2750
148,1,3.1150,1.0188
148,2,2.9399,1.5187
148,3,3.1150,1.2562
149,0,2.1439,1.2562
149,1,2.9823,1.5125
149,2,3.1256,1.0000
149,3,3.1574,1.2500
150,0,2.1969,1.2688
150,1,2.9982,1.5313
150,2,3.1521,1.0000
150,3,1.3850,1.6875
150,4,3.2105,1.2562
151,0,2.2553,1.2562
151,1,3.0248,1.5313
151,2,3.1680,1.0063
151,3,3.2423,1.2437
151,4,1.4116,1.6875
152,0,3.0354,1.5563
152,1,2.3031,1.2562
152,2,3.2052,1.0125
152,3,3.2742,1.2437
152,4,1.4328,1.6812
153,0,3.0407,1.5688
153,1,2.3455,1.2500
153,2,3.2317,1.0250
153,3,1.4593,1.6875
153,4,3.3113,1.2437
154,0,3.0619,1.5875
154,1,2.3933,1.2375
154,2,1.4858,1.6812
154,3,3.2636,1.0312
154,4,3.3325,1.2437
155,0,3.0778,1.6000
155,1,2.4304,1.2188
155,2,3.2795,1.0312
155,3,1.5018,1.6812
155,4,3.3485,1.2562
155,5,1.2099,1.6000
156,0,3.0884,1.6375
156,1,2.4782,1.2312
156,2,1.5283,1.6938
156,3,3.2901,1.0437
156,4,3.3909,1.2750
156,5,1.2099,1.6125
157,0,3.0938,1.6500
157,1,2.5312,1.2375
157,2,3.2901,1.0375
157,3,1.5495,1.7000
157,4,3.3909,1.2875
157,5,1.2099,1.6187
158,0,2.5631,1.2375
158,1,3.3007,1.0312
158,2,3.0938,1.6625
158,3,1.5920,1.7062
158,4,3.3803,1.3062
158,5,1.2152,1.6187
159,0,2.5949,1.2562
159,1,3.1044,1.6812
159,2,3.3060,1.0375
159,3,1.6026,1.7062
159,4,3.3591,1.3125
159,5,1.2046,1.6187
160,0,2.6162,1.2562
160,1,3.1044,1.7000
160,2,3.3113,1.0500
160,3,1.6079,1.7000
160,4,3.3432,1.3188
160,5,1.2046,1.6437
160,6,1.3797,1.7812
160,7,1.4062,1.8062
160,8,2.6427,1.2688
161,0,3.1044,1.7062
161,1,2.6480,1.2437
161,2,3.3113,1.0687
161,3,1.6185,1.7000
161,4,3.3432,1.3375
161,5,1.2046,1.6625
161,6,1.3903,1.7812
162,0,3.0991,1.7313
162,1,2.6798,1.2562
162,2,3.3060,1.0875
162,3,1.6291,1.7062
162,4,1.2099,1.6938
162,5,3.3166,1.3562
